recipes,ingredients,preparation,food_imgs
Malinowa Chmurka,,[],https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/malinowa-chmurka-00_1.jpg?itok=__-E2sOt
Babka marchewkowa,,[],https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/babka-marchewkowa-00.jpg?itok=BqVkmuEH
Pasztet jajeczny,"<div class=""group-skladniki field-group-div""><h3><span>Składniki</span></h3>
<div class=""field field-name-field-ilosc-porcji field-type-text field-label-hidden"">
    ok. 30 porcji  </div>
<div class=""field field-name-field-skladniki field-type-text-long field-label-hidden"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		1 szklanka mąki pszennej</li>
<li>
		1/2 łyżeczki proszku do pieczenia</li>
<li>
		1/2 op. cukru wanilinowego</li>
<li>
		1/4 szklanki cukru pudru</li>
<li>
		100 g masła (zimne)</li>
<li>
		3 żółtka</li>
</ul><div class=""wyroznione"">
	Galaretka</div>
<ul><li>
		1 litr wody</li>
<li>
		3 galaretki malinowe</li>
<li>
		ok. 500 g mrożonych malin (lub świeżych)</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		3 białka</li>
<li>
		1 szklanka drobnego cukru lub cukru pudru</li>
<li>
		1 łyżka skrobi ziemniaczanej</li>
<li>
		płatki migdałów</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		500 ml śmietanki 30% (zimnej)</li>
<li>
		250 g mascarpone (zimne)</li>
<li>
		1/2 szklanki cukru pudru</li>
</ul> </div>
</div>","[<div class=""group-przepis field-group-div""> <h3 class=""field-label"">
    Przygotowanie  </h3>
<div class=""field field-name-field-przygotowanie field-type-text-long field-label-above"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		Mąkę wymieszać razem z proszkiem do pieczenia, cukrem wanilinowym i cukrem pudrem.</li>
<li>
		Dodać drobno posiekane zimne masło i rozdrabniać ciasto (siekając nożem na stolnicy lub w mikserze mieszadłem), aż powstanie drobna kruszonka. </li>
<li>
		Wówczas dodać żółtka (białka zachować do bezy), połączyć składniki w jednolite ciasto. Zawinąć w folię i włożyć na godzinę do lodówki.</li>
</ul><div class=""wyroznione"">
	Galaret​ka</div>
<ul><li>
		Zagotować 1 litr wody, odstawić z ognia, wsypać galaretki i mieszać do całkowitego rozpuszczenia.</li>
<li>
		Wsypać maliny (mrożonych wcześniej nie rozmrażać), wymieszać i zostawić do czasu aż galaretka zacznie tężeć.</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		Piekarnik nagrzać do <strong>150 stopni C z termoobiegiem</strong>. Formę o wymiarach ok. <strong>23 cm x 33 cm</strong> wyłożyć papierem do pieczenia.</li>
<li>
		Białka ubić na sztywną pianę, następnie stopniowo, po łyżce dodawać cukier, cały czas cierpliwie ubijając. Na koniec dokładnie zmiksować ze skrobią ziemniaczaną.</li>
<li>
		Wyłożyć do formy, wyrównać powierzchnię, posypać płatkami migdałów i wstawić do piekarnika. Piec przez <strong>30 minut</strong>. Wyjąć z piekarnika, ostudzić, wyjąć bezę z formy razem z papierem.</li>
</ul><div class=""wyroznione"">
	Ciasto kruche c.d.</div>
<ul><li>
		Formę, w której piekliśmy bezę wyłożyć ponownie papierem do pieczenia.</li>
<li>
		Ciasto kruche wyjąć z lodówki i wyłożyć nim cały spód formy (albo rozwałkowując je albo krojąc na plastry i wyklejając nimi spód). Podziurkować widelcem i wstawić do lodówki na ok. 15 minut. W tym czasie piekarnik nagrzać do <strong>180 stopni C.</strong></li>
<li>
		Piec przez <strong>ok. 15 minut </strong>lub na złoty kolor. Wyjąć z piekarnika i ostudzić. Ciasto pozostawić w formie.</li>
<li>
		Na ostudzony kruchy spód wyłożyć sztywniejącą galaretkę z malinami.</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		Zimne (długo schładzane) śmietankę i mascarpone umieścić w misie miksera. Dodać cukier puder i ubijać przez ok. 3 minuty, aż krem będzie gęsty i sztywny, rozpoczynając od mniejszych obrotów miksera, stopniowo je zwiększając.</li>
<li>
		Krem wyłożyć na galaretkę, przykryć bezą odklejoną z papieru. Wstawić do lodówki na kilka godzin.</li>
</ul> </div>
</div>]",https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/pasztet-jajeczny-00.jpg?itok=0jtD22CX
Mazurek z masłem orzechowym,,[],https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/mazurek-z-maslem-orzechowym-00.jpg?itok=feOqf47G
Mazurek pistacjowy,"<div class=""group-skladniki field-group-div""><h3><span>Składniki</span></h3>
<div class=""field field-name-field-ilosc-porcji field-type-text field-label-hidden"">
    ok. 30 porcji  </div>
<div class=""field field-name-field-skladniki field-type-text-long field-label-hidden"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		1 szklanka mąki pszennej</li>
<li>
		1/2 łyżeczki proszku do pieczenia</li>
<li>
		1/2 op. cukru wanilinowego</li>
<li>
		1/4 szklanki cukru pudru</li>
<li>
		100 g masła (zimne)</li>
<li>
		3 żółtka</li>
</ul><div class=""wyroznione"">
	Galaretka</div>
<ul><li>
		1 litr wody</li>
<li>
		3 galaretki malinowe</li>
<li>
		ok. 500 g mrożonych malin (lub świeżych)</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		3 białka</li>
<li>
		1 szklanka drobnego cukru lub cukru pudru</li>
<li>
		1 łyżka skrobi ziemniaczanej</li>
<li>
		płatki migdałów</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		500 ml śmietanki 30% (zimnej)</li>
<li>
		250 g mascarpone (zimne)</li>
<li>
		1/2 szklanki cukru pudru</li>
</ul> </div>
</div>","[<div class=""group-przepis field-group-div""> <h3 class=""field-label"">
    Przygotowanie  </h3>
<div class=""field field-name-field-przygotowanie field-type-text-long field-label-above"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		Mąkę wymieszać razem z proszkiem do pieczenia, cukrem wanilinowym i cukrem pudrem.</li>
<li>
		Dodać drobno posiekane zimne masło i rozdrabniać ciasto (siekając nożem na stolnicy lub w mikserze mieszadłem), aż powstanie drobna kruszonka. </li>
<li>
		Wówczas dodać żółtka (białka zachować do bezy), połączyć składniki w jednolite ciasto. Zawinąć w folię i włożyć na godzinę do lodówki.</li>
</ul><div class=""wyroznione"">
	Galaret​ka</div>
<ul><li>
		Zagotować 1 litr wody, odstawić z ognia, wsypać galaretki i mieszać do całkowitego rozpuszczenia.</li>
<li>
		Wsypać maliny (mrożonych wcześniej nie rozmrażać), wymieszać i zostawić do czasu aż galaretka zacznie tężeć.</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		Piekarnik nagrzać do <strong>150 stopni C z termoobiegiem</strong>. Formę o wymiarach ok. <strong>23 cm x 33 cm</strong> wyłożyć papierem do pieczenia.</li>
<li>
		Białka ubić na sztywną pianę, następnie stopniowo, po łyżce dodawać cukier, cały czas cierpliwie ubijając. Na koniec dokładnie zmiksować ze skrobią ziemniaczaną.</li>
<li>
		Wyłożyć do formy, wyrównać powierzchnię, posypać płatkami migdałów i wstawić do piekarnika. Piec przez <strong>30 minut</strong>. Wyjąć z piekarnika, ostudzić, wyjąć bezę z formy razem z papierem.</li>
</ul><div class=""wyroznione"">
	Ciasto kruche c.d.</div>
<ul><li>
		Formę, w której piekliśmy bezę wyłożyć ponownie papierem do pieczenia.</li>
<li>
		Ciasto kruche wyjąć z lodówki i wyłożyć nim cały spód formy (albo rozwałkowując je albo krojąc na plastry i wyklejając nimi spód). Podziurkować widelcem i wstawić do lodówki na ok. 15 minut. W tym czasie piekarnik nagrzać do <strong>180 stopni C.</strong></li>
<li>
		Piec przez <strong>ok. 15 minut </strong>lub na złoty kolor. Wyjąć z piekarnika i ostudzić. Ciasto pozostawić w formie.</li>
<li>
		Na ostudzony kruchy spód wyłożyć sztywniejącą galaretkę z malinami.</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		Zimne (długo schładzane) śmietankę i mascarpone umieścić w misie miksera. Dodać cukier puder i ubijać przez ok. 3 minuty, aż krem będzie gęsty i sztywny, rozpoczynając od mniejszych obrotów miksera, stopniowo je zwiększając.</li>
<li>
		Krem wyłożyć na galaretkę, przykryć bezą odklejoną z papieru. Wstawić do lodówki na kilka godzin.</li>
</ul> </div>
</div>]",https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/mazurek-pistacjowy-00.jpg?itok=fy4Fm2tZ
Polędwiczki w sosie paprykowym,,[],https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/poledwiczki-w-sosie-paprykowym-00.jpg?itok=AIWR9H9Q
"Sernik ""Jajko sadzone""","<div class=""group-skladniki field-group-div""><h3><span>Składniki</span></h3>
<div class=""field field-name-field-ilosc-porcji field-type-text field-label-hidden"">
    ok. 30 porcji  </div>
<div class=""field field-name-field-skladniki field-type-text-long field-label-hidden"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		1 szklanka mąki pszennej</li>
<li>
		1/2 łyżeczki proszku do pieczenia</li>
<li>
		1/2 op. cukru wanilinowego</li>
<li>
		1/4 szklanki cukru pudru</li>
<li>
		100 g masła (zimne)</li>
<li>
		3 żółtka</li>
</ul><div class=""wyroznione"">
	Galaretka</div>
<ul><li>
		1 litr wody</li>
<li>
		3 galaretki malinowe</li>
<li>
		ok. 500 g mrożonych malin (lub świeżych)</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		3 białka</li>
<li>
		1 szklanka drobnego cukru lub cukru pudru</li>
<li>
		1 łyżka skrobi ziemniaczanej</li>
<li>
		płatki migdałów</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		500 ml śmietanki 30% (zimnej)</li>
<li>
		250 g mascarpone (zimne)</li>
<li>
		1/2 szklanki cukru pudru</li>
</ul> </div>
</div>","[<div class=""group-przepis field-group-div""> <h3 class=""field-label"">
    Przygotowanie  </h3>
<div class=""field field-name-field-przygotowanie field-type-text-long field-label-above"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		Mąkę wymieszać razem z proszkiem do pieczenia, cukrem wanilinowym i cukrem pudrem.</li>
<li>
		Dodać drobno posiekane zimne masło i rozdrabniać ciasto (siekając nożem na stolnicy lub w mikserze mieszadłem), aż powstanie drobna kruszonka. </li>
<li>
		Wówczas dodać żółtka (białka zachować do bezy), połączyć składniki w jednolite ciasto. Zawinąć w folię i włożyć na godzinę do lodówki.</li>
</ul><div class=""wyroznione"">
	Galaret​ka</div>
<ul><li>
		Zagotować 1 litr wody, odstawić z ognia, wsypać galaretki i mieszać do całkowitego rozpuszczenia.</li>
<li>
		Wsypać maliny (mrożonych wcześniej nie rozmrażać), wymieszać i zostawić do czasu aż galaretka zacznie tężeć.</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		Piekarnik nagrzać do <strong>150 stopni C z termoobiegiem</strong>. Formę o wymiarach ok. <strong>23 cm x 33 cm</strong> wyłożyć papierem do pieczenia.</li>
<li>
		Białka ubić na sztywną pianę, następnie stopniowo, po łyżce dodawać cukier, cały czas cierpliwie ubijając. Na koniec dokładnie zmiksować ze skrobią ziemniaczaną.</li>
<li>
		Wyłożyć do formy, wyrównać powierzchnię, posypać płatkami migdałów i wstawić do piekarnika. Piec przez <strong>30 minut</strong>. Wyjąć z piekarnika, ostudzić, wyjąć bezę z formy razem z papierem.</li>
</ul><div class=""wyroznione"">
	Ciasto kruche c.d.</div>
<ul><li>
		Formę, w której piekliśmy bezę wyłożyć ponownie papierem do pieczenia.</li>
<li>
		Ciasto kruche wyjąć z lodówki i wyłożyć nim cały spód formy (albo rozwałkowując je albo krojąc na plastry i wyklejając nimi spód). Podziurkować widelcem i wstawić do lodówki na ok. 15 minut. W tym czasie piekarnik nagrzać do <strong>180 stopni C.</strong></li>
<li>
		Piec przez <strong>ok. 15 minut </strong>lub na złoty kolor. Wyjąć z piekarnika i ostudzić. Ciasto pozostawić w formie.</li>
<li>
		Na ostudzony kruchy spód wyłożyć sztywniejącą galaretkę z malinami.</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		Zimne (długo schładzane) śmietankę i mascarpone umieścić w misie miksera. Dodać cukier puder i ubijać przez ok. 3 minuty, aż krem będzie gęsty i sztywny, rozpoczynając od mniejszych obrotów miksera, stopniowo je zwiększając.</li>
<li>
		Krem wyłożyć na galaretkę, przykryć bezą odklejoną z papieru. Wstawić do lodówki na kilka godzin.</li>
</ul> </div>
</div>]",https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/sernik-jajko-sadzone-na-zimno-00.jpg?itok=dNjPwmw-
Muffiny czekoladowe z masłem orzechowym,"<div class=""group-skladniki field-group-div""><h3><span>Składniki</span></h3>
<div class=""field field-name-field-ilosc-porcji field-type-text field-label-hidden"">
    ok. 30 porcji  </div>
<div class=""field field-name-field-skladniki field-type-text-long field-label-hidden"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		1 szklanka mąki pszennej</li>
<li>
		1/2 łyżeczki proszku do pieczenia</li>
<li>
		1/2 op. cukru wanilinowego</li>
<li>
		1/4 szklanki cukru pudru</li>
<li>
		100 g masła (zimne)</li>
<li>
		3 żółtka</li>
</ul><div class=""wyroznione"">
	Galaretka</div>
<ul><li>
		1 litr wody</li>
<li>
		3 galaretki malinowe</li>
<li>
		ok. 500 g mrożonych malin (lub świeżych)</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		3 białka</li>
<li>
		1 szklanka drobnego cukru lub cukru pudru</li>
<li>
		1 łyżka skrobi ziemniaczanej</li>
<li>
		płatki migdałów</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		500 ml śmietanki 30% (zimnej)</li>
<li>
		250 g mascarpone (zimne)</li>
<li>
		1/2 szklanki cukru pudru</li>
</ul> </div>
</div>","[<div class=""group-przepis field-group-div""> <h3 class=""field-label"">
    Przygotowanie  </h3>
<div class=""field field-name-field-przygotowanie field-type-text-long field-label-above"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		Mąkę wymieszać razem z proszkiem do pieczenia, cukrem wanilinowym i cukrem pudrem.</li>
<li>
		Dodać drobno posiekane zimne masło i rozdrabniać ciasto (siekając nożem na stolnicy lub w mikserze mieszadłem), aż powstanie drobna kruszonka. </li>
<li>
		Wówczas dodać żółtka (białka zachować do bezy), połączyć składniki w jednolite ciasto. Zawinąć w folię i włożyć na godzinę do lodówki.</li>
</ul><div class=""wyroznione"">
	Galaret​ka</div>
<ul><li>
		Zagotować 1 litr wody, odstawić z ognia, wsypać galaretki i mieszać do całkowitego rozpuszczenia.</li>
<li>
		Wsypać maliny (mrożonych wcześniej nie rozmrażać), wymieszać i zostawić do czasu aż galaretka zacznie tężeć.</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		Piekarnik nagrzać do <strong>150 stopni C z termoobiegiem</strong>. Formę o wymiarach ok. <strong>23 cm x 33 cm</strong> wyłożyć papierem do pieczenia.</li>
<li>
		Białka ubić na sztywną pianę, następnie stopniowo, po łyżce dodawać cukier, cały czas cierpliwie ubijając. Na koniec dokładnie zmiksować ze skrobią ziemniaczaną.</li>
<li>
		Wyłożyć do formy, wyrównać powierzchnię, posypać płatkami migdałów i wstawić do piekarnika. Piec przez <strong>30 minut</strong>. Wyjąć z piekarnika, ostudzić, wyjąć bezę z formy razem z papierem.</li>
</ul><div class=""wyroznione"">
	Ciasto kruche c.d.</div>
<ul><li>
		Formę, w której piekliśmy bezę wyłożyć ponownie papierem do pieczenia.</li>
<li>
		Ciasto kruche wyjąć z lodówki i wyłożyć nim cały spód formy (albo rozwałkowując je albo krojąc na plastry i wyklejając nimi spód). Podziurkować widelcem i wstawić do lodówki na ok. 15 minut. W tym czasie piekarnik nagrzać do <strong>180 stopni C.</strong></li>
<li>
		Piec przez <strong>ok. 15 minut </strong>lub na złoty kolor. Wyjąć z piekarnika i ostudzić. Ciasto pozostawić w formie.</li>
<li>
		Na ostudzony kruchy spód wyłożyć sztywniejącą galaretkę z malinami.</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		Zimne (długo schładzane) śmietankę i mascarpone umieścić w misie miksera. Dodać cukier puder i ubijać przez ok. 3 minuty, aż krem będzie gęsty i sztywny, rozpoczynając od mniejszych obrotów miksera, stopniowo je zwiększając.</li>
<li>
		Krem wyłożyć na galaretkę, przykryć bezą odklejoną z papieru. Wstawić do lodówki na kilka godzin.</li>
</ul> </div>
</div>]",https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/muffiny-czekoladowe-z-maslem-orzechowym-00.jpg?itok=Gp0HbItv
Babka serowa,"<div class=""group-skladniki field-group-div""><h3><span>Składniki</span></h3>
<div class=""field field-name-field-ilosc-porcji field-type-text field-label-hidden"">
    ok. 30 porcji  </div>
<div class=""field field-name-field-skladniki field-type-text-long field-label-hidden"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		1 szklanka mąki pszennej</li>
<li>
		1/2 łyżeczki proszku do pieczenia</li>
<li>
		1/2 op. cukru wanilinowego</li>
<li>
		1/4 szklanki cukru pudru</li>
<li>
		100 g masła (zimne)</li>
<li>
		3 żółtka</li>
</ul><div class=""wyroznione"">
	Galaretka</div>
<ul><li>
		1 litr wody</li>
<li>
		3 galaretki malinowe</li>
<li>
		ok. 500 g mrożonych malin (lub świeżych)</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		3 białka</li>
<li>
		1 szklanka drobnego cukru lub cukru pudru</li>
<li>
		1 łyżka skrobi ziemniaczanej</li>
<li>
		płatki migdałów</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		500 ml śmietanki 30% (zimnej)</li>
<li>
		250 g mascarpone (zimne)</li>
<li>
		1/2 szklanki cukru pudru</li>
</ul> </div>
</div>","[<div class=""group-przepis field-group-div""> <h3 class=""field-label"">
    Przygotowanie  </h3>
<div class=""field field-name-field-przygotowanie field-type-text-long field-label-above"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		Mąkę wymieszać razem z proszkiem do pieczenia, cukrem wanilinowym i cukrem pudrem.</li>
<li>
		Dodać drobno posiekane zimne masło i rozdrabniać ciasto (siekając nożem na stolnicy lub w mikserze mieszadłem), aż powstanie drobna kruszonka. </li>
<li>
		Wówczas dodać żółtka (białka zachować do bezy), połączyć składniki w jednolite ciasto. Zawinąć w folię i włożyć na godzinę do lodówki.</li>
</ul><div class=""wyroznione"">
	Galaret​ka</div>
<ul><li>
		Zagotować 1 litr wody, odstawić z ognia, wsypać galaretki i mieszać do całkowitego rozpuszczenia.</li>
<li>
		Wsypać maliny (mrożonych wcześniej nie rozmrażać), wymieszać i zostawić do czasu aż galaretka zacznie tężeć.</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		Piekarnik nagrzać do <strong>150 stopni C z termoobiegiem</strong>. Formę o wymiarach ok. <strong>23 cm x 33 cm</strong> wyłożyć papierem do pieczenia.</li>
<li>
		Białka ubić na sztywną pianę, następnie stopniowo, po łyżce dodawać cukier, cały czas cierpliwie ubijając. Na koniec dokładnie zmiksować ze skrobią ziemniaczaną.</li>
<li>
		Wyłożyć do formy, wyrównać powierzchnię, posypać płatkami migdałów i wstawić do piekarnika. Piec przez <strong>30 minut</strong>. Wyjąć z piekarnika, ostudzić, wyjąć bezę z formy razem z papierem.</li>
</ul><div class=""wyroznione"">
	Ciasto kruche c.d.</div>
<ul><li>
		Formę, w której piekliśmy bezę wyłożyć ponownie papierem do pieczenia.</li>
<li>
		Ciasto kruche wyjąć z lodówki i wyłożyć nim cały spód formy (albo rozwałkowując je albo krojąc na plastry i wyklejając nimi spód). Podziurkować widelcem i wstawić do lodówki na ok. 15 minut. W tym czasie piekarnik nagrzać do <strong>180 stopni C.</strong></li>
<li>
		Piec przez <strong>ok. 15 minut </strong>lub na złoty kolor. Wyjąć z piekarnika i ostudzić. Ciasto pozostawić w formie.</li>
<li>
		Na ostudzony kruchy spód wyłożyć sztywniejącą galaretkę z malinami.</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		Zimne (długo schładzane) śmietankę i mascarpone umieścić w misie miksera. Dodać cukier puder i ubijać przez ok. 3 minuty, aż krem będzie gęsty i sztywny, rozpoczynając od mniejszych obrotów miksera, stopniowo je zwiększając.</li>
<li>
		Krem wyłożyć na galaretkę, przykryć bezą odklejoną z papieru. Wstawić do lodówki na kilka godzin.</li>
</ul> </div>
</div>]",https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/babka-serowa-00.jpg?itok=I9EzoIMX
Sernik z białą czekoladą i malinami,"<div class=""group-skladniki field-group-div""><h3><span>Składniki</span></h3>
<div class=""field field-name-field-ilosc-porcji field-type-text field-label-hidden"">
    ok. 30 porcji  </div>
<div class=""field field-name-field-skladniki field-type-text-long field-label-hidden"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		1 szklanka mąki pszennej</li>
<li>
		1/2 łyżeczki proszku do pieczenia</li>
<li>
		1/2 op. cukru wanilinowego</li>
<li>
		1/4 szklanki cukru pudru</li>
<li>
		100 g masła (zimne)</li>
<li>
		3 żółtka</li>
</ul><div class=""wyroznione"">
	Galaretka</div>
<ul><li>
		1 litr wody</li>
<li>
		3 galaretki malinowe</li>
<li>
		ok. 500 g mrożonych malin (lub świeżych)</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		3 białka</li>
<li>
		1 szklanka drobnego cukru lub cukru pudru</li>
<li>
		1 łyżka skrobi ziemniaczanej</li>
<li>
		płatki migdałów</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		500 ml śmietanki 30% (zimnej)</li>
<li>
		250 g mascarpone (zimne)</li>
<li>
		1/2 szklanki cukru pudru</li>
</ul> </div>
</div>","[<div class=""group-przepis field-group-div""> <h3 class=""field-label"">
    Przygotowanie  </h3>
<div class=""field field-name-field-przygotowanie field-type-text-long field-label-above"">
<div class=""wyroznione"">
	Ciasto kruche</div>
<ul><li>
		Mąkę wymieszać razem z proszkiem do pieczenia, cukrem wanilinowym i cukrem pudrem.</li>
<li>
		Dodać drobno posiekane zimne masło i rozdrabniać ciasto (siekając nożem na stolnicy lub w mikserze mieszadłem), aż powstanie drobna kruszonka. </li>
<li>
		Wówczas dodać żółtka (białka zachować do bezy), połączyć składniki w jednolite ciasto. Zawinąć w folię i włożyć na godzinę do lodówki.</li>
</ul><div class=""wyroznione"">
	Galaret​ka</div>
<ul><li>
		Zagotować 1 litr wody, odstawić z ognia, wsypać galaretki i mieszać do całkowitego rozpuszczenia.</li>
<li>
		Wsypać maliny (mrożonych wcześniej nie rozmrażać), wymieszać i zostawić do czasu aż galaretka zacznie tężeć.</li>
</ul><div class=""wyroznione"">
	Beza</div>
<ul><li>
		Piekarnik nagrzać do <strong>150 stopni C z termoobiegiem</strong>. Formę o wymiarach ok. <strong>23 cm x 33 cm</strong> wyłożyć papierem do pieczenia.</li>
<li>
		Białka ubić na sztywną pianę, następnie stopniowo, po łyżce dodawać cukier, cały czas cierpliwie ubijając. Na koniec dokładnie zmiksować ze skrobią ziemniaczaną.</li>
<li>
		Wyłożyć do formy, wyrównać powierzchnię, posypać płatkami migdałów i wstawić do piekarnika. Piec przez <strong>30 minut</strong>. Wyjąć z piekarnika, ostudzić, wyjąć bezę z formy razem z papierem.</li>
</ul><div class=""wyroznione"">
	Ciasto kruche c.d.</div>
<ul><li>
		Formę, w której piekliśmy bezę wyłożyć ponownie papierem do pieczenia.</li>
<li>
		Ciasto kruche wyjąć z lodówki i wyłożyć nim cały spód formy (albo rozwałkowując je albo krojąc na plastry i wyklejając nimi spód). Podziurkować widelcem i wstawić do lodówki na ok. 15 minut. W tym czasie piekarnik nagrzać do <strong>180 stopni C.</strong></li>
<li>
		Piec przez <strong>ok. 15 minut </strong>lub na złoty kolor. Wyjąć z piekarnika i ostudzić. Ciasto pozostawić w formie.</li>
<li>
		Na ostudzony kruchy spód wyłożyć sztywniejącą galaretkę z malinami.</li>
</ul><div class=""wyroznione"">
	Krem</div>
<ul><li>
		Zimne (długo schładzane) śmietankę i mascarpone umieścić w misie miksera. Dodać cukier puder i ubijać przez ok. 3 minuty, aż krem będzie gęsty i sztywny, rozpoczynając od mniejszych obrotów miksera, stopniowo je zwiększając.</li>
<li>
		Krem wyłożyć na galaretkę, przykryć bezą odklejoną z papieru. Wstawić do lodówki na kilka godzin.</li>
</ul> </div>
</div>]",https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/styles/kafelki/public/sernik-z-biala-czekolada-malinami-00.jpg?itok=rf8IyV5t
